codigo_fc;ativo;dcb;teor_pct;densidade;fator_diluicao;_puro_nome;markup_preco
41024;UNHA GATO PO;;;0.54;;;
31138;SULBUTIAMINA;08097          ;;0.36;;;
37364;INDAPAMIDA DILUIDO;04875          ;;;;;
40982;AC ELAGICO;;;0.47;2.42;;
24398;GLUCONOLACTONA;;;;;;5.0
40984;ATORVASTATINA CALCICA NAO TEM;;;0.23;;;
31870;LIPOREDUCTYL;;;1.103;;;4.5
41872;DERMOCHORELLA;;;;;;3.5
35379;VIT K1 INTERNO;04060          ;;;;;
34717;LIDO;05313          ;;0.4;;;
37155;BIO ARCT;;;0.97;;;4.0
33326;RESVERATROL;;;0.53;;;5.0
34324;TCM LIQUIDO;;;;;;5.0
37929;AC FERULICO;;;0.5;;;
39968;PROPOLIS EXT SECO;;;0.55;;;
32545;POLICOSANOL;;;0.43;2.35;;
34379;INDOL 3 CARBINOL;;;0.45;;;4.0
34213;HIDROXIMETILBUTIRATO;;;0.38;;;
40874;TIMOMODULINA MP.;08605          ;;;;;4.8
34380;L THEANINA;;;0.42;;;5.0
38744;CHA BRANCO EXT SECO;;;0.4;;;3.5
41507;CHOCOLATE 70%;;;;;;5.0
41771;BACOPA MONIERE EXTRATO SECO;;;0.5;;;
41681;FUCUS EXT SECO;;;0.5;;;
40374;PHOLIA MAGRA;;;0.51;;;
11073;KSM-66;;;0.53;;;3.5
10865;PICOLINATO DE CROMO 1:100;;;0.49;100.0;PICOLINATO DE CROMO MP;
10931;LACTOB DELBRUECK;;;0.49;;;5.0
40412;FATOR VEGF;;;;;;3.5
39416;SHAMPOO PEROLADO;;;;;;4.5
40475;BIOEX ANTI-OLEOSIDADE;;;;;;3.5
34310;DRY FLO PC#;;;0.61;;;3.5
40416;FATOR TGF B 3;;;;;;4.5
33687;TADALAFILA MP;08253          ;;0.42;;;6.0
38968;ACNEBIOL;;;;;;4.5
24445;DMAE BASE LIQ 41,5%-AL;;;;;;4.5
10843;LACTOB CRISPATUS;;;0.53;;;5.0
41614;VIT D3  MP PURA;02569          ;;;;;9.5
40357;FATOR IGF;;;;;;5.0
10844;MICROESFERAS POLIETILLENO;;;;;;5.5
25182;LACTIL;;;;;;4.5
42194;UVA URSI PO;;;0.52;;;4.5
39417;SHAMPOO TRANSPARENTE;;;;;;4.5
37872;BENFOTIAMINA;01107          ;;;;;5.0
11454;DEXAMETASONA 1:10;;;;10.0;DEXAMETASONA BASE MP#;
24422;HIDROCORT;04664          ;;0.27;;;
37999;EZETIMIBE;03779          ;;0.22;;;
31431;PREDNISOLONA BASE NAO TEM;07333          ;;;;;
11238;CITRUSIM;;;0.55;;;5.0
42679;L- CARNOSINA#;;;;;;3.5
30682;SILICONE DC 193#;;;;;;4.0
40270;ESPINHEIRA SANTA EXT SECO.. #;;;0.64;;;4.0
12243;MOROS;;;0.55;;;
37196;SCULPTESSENCE;;;;;;4.5
33788;BEANBLOCK;;;;;;4.5
11429;CELLACTIVE WHITE;;;;;;4.5
41776;AYSLIM MANGA AFRICANA;;;0.4;;;
34829;BUMET;01536          ;;;;;
33925;WNF-OLEO ESSENCIAL EUCALIPTO 1;;;;;;4.5
33502;CRISINA;;;0.3;;;4.0
32150;TRANSCUTOL;;;0.998;;;
33322;SUCRALOSE;09562          ;;0.47;;;2.5
11455;COMPLEXO B;;;0.52;;;
39645;RED Y;;;0.66;;;3.5
23818;TESTOSTERONA BASE;08448          ;;0.4;;;4.5
34830;CETOTIFENO FUMARATO;01968          ;;0.29;;;
34832;CLONAZEPAM 1:50;02300          ;;;50.0;CLONAZEPAM MP;
11311;MELATONINA 1:10;;;0.53;10.0;(NÃO ENCONTRADO — revisar);4.5
35366;LACTOB RHAMNOSUS;;;0.56;;;5.0
10986;VIT D3   1:1000  LIQUIDA;;;;1000.0;(NÃO ENCONTRADO — revisar);
33905;OL ESS LAVANDA;;;;;;4.5
69917;ABACATEIRO PO;;;0.49;;;
50052;AC ACETICO;00086          ;;0.93;;;
50064;AC ACETIL SALICILICO;00089          ;;;;;
50076;AC ASPARTICO;00108          ;;;;;
50118;AC BORICO;00116          ;;0.49;;;5.0
50120;AC CITRICO;00134          ;;0.84;;;
2358;AC FITICO;00188          ;;;;;5.0
50155;AC FOLICO;00194          ;;0.36;;;4.5
35354;CRANBERRY EXTR SECO;;;0.55;;;4.0
50180;AC GLUTAMICO;00230          ;;;;;
2161;AC KOJICO;;;0.54;;;
50209;AC LATICO;00274          ;;;1.17;;4.0
1401;AC ALFA LIPOICO;00361          ;;0.44;;;5.0
97974;AC MALICO;09396          ;;0.64;;;3.84
50210;AC MANDELICO#;00282          ;;;;;3.5
50222;AC NICOTINICO;00296          ;;0.72;;;4.5
10927;LACTOB NAO USAR;;;0.45;;;
50246;PABA;00098          ;;0.23;;;
417;AC RETINOICO;08848          ;;;;;4.5
50283;AC SALICILICO;00340          ;;0.57;;;3.5
469;COLAGENO TIPO II;;;0.58;;;6.0
50325;AC TARTARICO;00350          ;;1.03;;;
50337;AC TRICLOROACETICO NAO TEM;00366          ;;;;;
34862;FLUOCINOLONA NAO USAR;04159          ;;;;;
1990;ACECLOFENACO;00027          ;;;;;
35889;ACETIL L CARNITINA HCL;;;0.48;;;4.5
4861;ACETONA  PA;;;1.3;;;
6692;ADENIN;;;0.511;;;
50362;AEROSIL;;;0.14;;;4.84
50878;AGAR AGAR;09547          ;;0.57;;;4.5
8471;AGNUS CASTUS;;;0.53;;;
60021;AGUA PURIFICADA;09879          ;;;;;
11050;F4T REDUX;;;0.76;;;4.0
50490;ALCOOL CEREAIS;;;;;;2.5003
50477;AL ETILICO;00475          ;;;;;
50489;ALCOOL ISOPROPILICO;00476          ;;;;;
50404;ALANINA;00451          ;;;;;
50416;ALANTOINA;00453          ;;0.52;;;3.5
61098;LICORICE;;;0.72;;;4.8
36511;ALENDRONATO SODIO;00097          ;;0.32;1.31;;7.0
1463;ALFA AMILASE;09355          ;;0.49;;;4.8
10601;ALFA BISABOLOL#;;;;;;5.0
70210;ALFAFA;;;0.27;;;
6035;ALISTIN;;;;;;3.5
3123;ALLIUM SATIVUM;;;0.6;;;
50568;ALOINA;09893          ;;0.52;;;4.0
50830;ALOPURINOL;00585          ;;0.37;;;
41257;ALPRAZOLAM ?;00597          ;;;;;
9519;AMBROXOL HCL;00632          ;;;;;3.5
14592;AMIDO FARMACEUTICO;;;0.5;;;3.0
50763;AMIDO MILHO;00657          ;;;;;
58026;AMITRIPTILINA HCL;00712          ;;;;;
23138;AMORA USAR EXT SECO;;;0.53;;;
13421;DEXAM;;;;50.0;;
50659;ARGININA HCL;00869          ;;0.55;;;4.5
38478;EMULFIT 415#;;;;;;3.5
1769;BASE SHAKE BAUNILHA PO#;;;;;;3.0
1768;AROMA LARANJA PO;;;0.72;;;
11376;METILCOBALAMINA 1:10  (OROTAB);;;;10.0;METILCOBALAMINA MP;
3762;ASCORBASILANE C;;;;;;4.5
1459;ASCORBATO CALCIO;00106          ;;0.81;;;
1460;ASCORBATO MAGNESIO;;;0.78;;;4.0
1461;ASCORBATO SODIO;00107          ;;;;;
50842;ASIATICOSIDE;00895          ;;0.63;;;
7778;ASPARTATO ARGININA#;00868          ;;0.83;;;3.5
4689;ASPARTATO CALCIO;00109          ;;;;;
41270;ASPARTATO MAGNESIO.;00110          ;;0.61;1.02;;6.0
41282;ASPARTATO POTASSIO;00111          ;;;5.0;;
22794;ASTRAGALUS ES #;;;0.64;;;3.5
61281;ATENOLOL;00911          ;;0.43;;;
51070;BETACAROTENO;01191          ;;0.5;5.0;;4.85
51366;BENZOATO SODIO;01157          ;;;;;
59924;BENZOBROMARONA;01130          ;;;;;
21397;BERBERINA;08163          ;;0.43;;;5.0
3747;BERINJELA ES;;;;;;5.0
4384;BESILATO ANLODIPINA;00805          ;;0.45;1.39;;
10930;POMEGRANATO-ROMA;;;0.61;;;
51305;TRIMETILGLICINA;01200          ;;0.65;;;5.0
8335;BETAINA HCL;01202          ;;0.75;;;4.5
71031;BEZAFIBRATO;01240          ;;0.32;;;
14217;BHT. #;01627          ;;0.78;;;3.5
51093;BICARBONATO SODIO;01249          ;;1.2;;;
37754;CAVALINHA EXT SECO;;;0.35;;;3.5
10327;BIOEX CAPILAR;;;;;;3.0
38015;BIOTINA MP;01279          ;;0.42;;;
1239;BIOWHITE;;;;;;6.0
41312;BISACODIL;01287          ;;;;;
