ativo;sinonimo;fator_equiv;acao
FOLINATO CALCIO #;AC FOLINICO;1.08;CRIAR com fator
PANTOTENATO DE CALCIO;AC PANTOTENICO;1.09;ATUALIZAR existente
ALECRIM ES;ALECRIM;0.25;ATUALIZAR existente
BESILATO ANLODIPINA;ANLODIPINA (C/BESILATO);1.39;ATUALIZAR existente
BETACAROTENO;B-CAROTENO 10% PT;0.1;ATUALIZAR existente
BETAMETASONA 17 VALERATO;BETAMETASONA (C/VALER);1.21;ATUALIZAR existente
L CISTEINA HCL;CISTEINA (COMO HCL) @;1.3;ATUALIZAR existente
TINT GINKGO BILOBA;EXT GINCOBILOBA (XP) *;3.0;ATUALIZAR existente
MESILATO DOXAZOSINA MP;DOXAZOSINA MP;1.21;ATUALIZAR existente
FLUNARIZINA HC;FLUNARIZINA (COMO HCL);1.18;ATUALIZAR existente
ISOFLAVONA;ISOFLAVONA 40%;0.407;ATUALIZAR existente
L CISTEINA HCL;L CISTEINA (COMO HCL);1.3;ATUALIZAR existente
L LISINA HCL.;L LISINA;1.25;ATUALIZAR existente
L LISINA HCL.;L LISINE;1.25;ATUALIZAR existente
L LISINA HCL.;LISINA;1.25;ATUALIZAR existente
NORTRIPTILINA HCL;NORTRIPTILINA (C/ HCL);1.14;ATUALIZAR existente
TANSULOSINA HCL MP;TANSULOSINA (COMO HCL) MP;1.08;ATUALIZAR existente
L ORNITINA HCL;ORNITINA (COMO HCL);1.28;ATUALIZAR existente
RANITIDINA HCL;RANITIDINA (COMO HCL);1.12;ATUALIZAR existente
TINT GINKGO BILOBA;TINT GINCOBILOBA (XP) *;3.0;ATUALIZAR existente
TAMOXIFENO CITRATO;TAMOXIFENO (C/CITRATO) @;1.52;ATUALIZAR existente
TERBINAFINA HCL;TERBINAFINA (COMO HCL)USO INT;1.12;ATUALIZAR existente
TIZANIDINA HCL MP;TIZANIDINA (COMO HCL) MP;1.14;ATUALIZAR existente
PANTOTENATO DE CALCIO;VIT B5@;1.09;CRIAR com fator
SOL DEXAMET ACETATO 1%;DEXAMETASONA (C/ACET) TOPICO;1.11;ATUALIZAR existente
CASCARA SAGRADA EXT SECO;EXT SECO CASC SAGRADA *;0.25;ATUALIZAR existente
SILDENAFIL CITRATO;SILDENAFIL (C/CITRATO);1.4;ATUALIZAR existente
CETOTIFENO FUMARATO;CETOTIFENO (C/FUMAR DILUIDO;1.38;ATUALIZAR existente
ESCITALOPRAM OXALATO;ESCITALOPRAM(C/OXALATO);1.28;ATUALIZAR existente
CIMICIFUGA EXT SECO;27-DOXIACTEINE;31.95;ATUALIZAR existente
AC ELAGICO;AC ELAGICO(POMEGRANATE);2.43;ATUALIZAR existente
ATORVASTATINA CALCICA NAO TEM;ATORVASTATINA(C/CALCICA);1.08;ATUALIZAR existente
ISOFLAVONA;GLYCINE MAX 40%;0.407;ATUALIZAR existente
L ORNITINA HCL;L ORNITINA(COMO HCL);1.28;ATUALIZAR existente
AYSLIM MANGA AFRICANA;AYSLIM MANGA AFRICANA;0.3;ATUALIZAR existente
YAM MEXICANO;DIOSGENINA;15.87;ATUALIZAR existente
AYSLIM MANGA AFRICANA;AYSLIM USO INTERNO;0.3;ATUALIZAR existente
AC ELAGICO;AC ELAGICO;2.43;ATUALIZAR existente
DULOXETINA HCL;CLORIDRATO DULOXETINA@;1.12;ATUALIZAR existente
DESVENLAFAXINA;DESVENLAFAXINA SUC.@;1.52;ATUALIZAR existente
